project_week,asset_id,expected_market_open_days,source_observation_days,calendar_confidence,n_return_obs,return_coverage_ratio,coverage_status,week_is_partial_by_design
W01,GOLD_USD,5,5,reference_inferred,4,0.8,adequate,False
W01,IRR_GOLD18,6,6,reference_inferred,5,0.8333333333333334,adequate,False
W01,IRR_USD,6,6,reference_inferred,5,0.8333333333333334,adequate,False
W01,OIL_BRENT,5,5,reference_inferred,4,0.8,adequate,False
W01,OIL_WTI,5,5,reference_inferred,4,0.8,adequate,False
W01,SP500,5,5,reference_inferred,4,0.8,adequate,False
W01,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W01,VIX,5,5,reference_inferred,4,0.8,adequate,False
W02,GOLD_USD,5,5,reference_inferred,5,1.0,adequate,False
W02,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W02,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W02,OIL_BRENT,5,5,reference_inferred,5,1.0,adequate,False
W02,OIL_WTI,5,5,reference_inferred,5,1.0,adequate,False
W02,SP500,5,5,reference_inferred,5,1.0,adequate,False
W02,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W02,VIX,5,5,reference_inferred,5,1.0,adequate,False
W03,GOLD_USD,5,5,reference_inferred,5,1.0,adequate,False
W03,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W03,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W03,OIL_BRENT,5,5,reference_inferred,5,1.0,adequate,False
W03,OIL_WTI,5,5,reference_inferred,5,1.0,adequate,False
W03,SP500,5,5,reference_inferred,5,1.0,adequate,False
W03,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W03,VIX,5,5,reference_inferred,5,1.0,adequate,False
W04,GOLD_USD,5,5,reference_inferred,5,1.0,adequate,False
W04,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W04,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W04,OIL_BRENT,5,5,reference_inferred,5,1.0,adequate,False
W04,OIL_WTI,5,5,reference_inferred,5,1.0,adequate,False
W04,SP500,5,5,reference_inferred,5,1.0,adequate,False
W04,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W04,VIX,5,5,reference_inferred,5,1.0,adequate,False
W05,GOLD_USD,4,4,reference_inferred,4,1.0,adequate,False
W05,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W05,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W05,OIL_BRENT,4,4,reference_inferred,4,1.0,adequate,False
W05,OIL_WTI,4,4,reference_inferred,4,1.0,adequate,False
W05,SP500,4,4,reference_inferred,4,1.0,adequate,False
W05,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W05,VIX,4,4,reference_inferred,4,1.0,adequate,False
W06,GOLD_USD,5,5,reference_inferred,5,1.0,adequate,False
W06,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W06,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W06,OIL_BRENT,5,5,reference_inferred,5,1.0,adequate,False
W06,OIL_WTI,5,5,reference_inferred,5,1.0,adequate,False
W06,SP500,5,5,reference_inferred,5,1.0,adequate,False
W06,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W06,VIX,5,5,reference_inferred,5,1.0,adequate,False
W07,GOLD_USD,5,5,reference_inferred,5,1.0,adequate,False
W07,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W07,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W07,OIL_BRENT,5,5,reference_inferred,5,1.0,adequate,False
W07,OIL_WTI,5,5,reference_inferred,5,1.0,adequate,False
W07,SP500,5,5,reference_inferred,5,1.0,adequate,False
W07,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W07,VIX,5,5,reference_inferred,5,1.0,adequate,False
W08,GOLD_USD,5,5,reference_inferred,5,1.0,adequate,False
W08,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W08,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W08,OIL_BRENT,5,5,reference_inferred,5,1.0,adequate,False
W08,OIL_WTI,5,5,reference_inferred,5,1.0,adequate,False
W08,SP500,5,5,reference_inferred,5,1.0,adequate,False
W08,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W08,VIX,5,5,reference_inferred,5,1.0,adequate,False
W09,GOLD_USD,5,5,reference_inferred,5,1.0,adequate,False
W09,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W09,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W09,OIL_BRENT,5,5,reference_inferred,5,1.0,adequate,False
W09,OIL_WTI,5,5,reference_inferred,5,1.0,adequate,False
W09,SP500,5,5,reference_inferred,5,1.0,adequate,False
W09,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W09,VIX,5,5,reference_inferred,5,1.0,adequate,False
W10,GOLD_USD,5,5,reference_inferred,5,1.0,adequate,False
W10,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W10,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W10,OIL_BRENT,5,5,reference_inferred,5,1.0,adequate,False
W10,OIL_WTI,5,5,reference_inferred,5,1.0,adequate,False
W10,SP500,5,5,reference_inferred,5,1.0,adequate,False
W10,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W10,VIX,5,5,reference_inferred,5,1.0,adequate,False
W11,GOLD_USD,5,5,reference_inferred,5,1.0,adequate,False
W11,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W11,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W11,OIL_BRENT,5,5,reference_inferred,5,1.0,adequate,False
W11,OIL_WTI,5,5,reference_inferred,5,1.0,adequate,False
W11,SP500,5,5,reference_inferred,5,1.0,adequate,False
W11,TEDPIX,0,0,reference_inferred,0,,no_scheduled_market_day,False
W11,VIX,5,5,reference_inferred,5,1.0,adequate,False
W12,GOLD_USD,5,5,reference_inferred,5,1.0,adequate,False
W12,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W12,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W12,OIL_BRENT,5,5,reference_inferred,5,1.0,adequate,False
W12,OIL_WTI,5,5,reference_inferred,5,1.0,adequate,False
W12,SP500,5,5,reference_inferred,5,1.0,adequate,False
W12,TEDPIX,2,2,reference_inferred,1,0.5,limited,False
W12,VIX,5,5,reference_inferred,5,1.0,adequate,False
W13,GOLD_USD,4,4,reference_inferred,4,1.0,adequate,False
W13,IRR_GOLD18,6,6,reference_inferred,6,1.0,adequate,False
W13,IRR_USD,6,6,reference_inferred,6,1.0,adequate,False
W13,OIL_BRENT,4,4,reference_inferred,4,1.0,adequate,False
W13,OIL_WTI,4,4,reference_inferred,4,1.0,adequate,False
